video_id,start,end,bbox,fps,width,height,partition
VM6HZqQKhok#016609#016737,0,0,104-10-665-570,10.0,944,944,train
4E_1AB1rsSw#014854#015029,0,0,288-75-746-532,10.0,960,960,train
B43f89Y9f-A#013336#013572,0,0,216-39-622-445,10.0,800,800,train
4zLmWpMDY8Q#012019#012190,0,0,190-43-542-394,10.0,720,720,train
rS_Ssisz2_M#007168#007339,0,0,157-42-477-361,10.0,608,608,train
Fxt_MZKMdes#001276#001514,0,0,150-50-538-438,10.0,720,720,train
8Dv2Hdf5TRg#010948#011114,0,0,132-24-449-342,10.0,624,624,train
8DDgHq9ewOo#019725#019916,0,0,185-43-574-433,10.0,784,784,train
pyFcr2WcOyo#013029#013417,0,0,204-71-574-441,10.0,832,832,train
UQzvNIIMayo#024043#024186,0,0,265-55-831-622,10.0,1056,1056,train
esD6aaIjhek#008846#009046,0,0,96-15-408-327,10.0,592,592,train
N39x_WTPix0#013432#013562,0,0,198-13-583-398,10.0,720,720,train
27lMmdmy-b8#019823#020124,0,0,137-33-499-394,10.0,688,688,train
LnJwH_PZXnM#024134#024328,0,0,298-0-859-560,10.0,976,976,train
77HUdJ7Tij0#001754#002046,0,0,284-50-754-520,10.0,976,976,train
kdqUhTnAgJU#004528#004674,0,0,172-44-485-357,10.0,656,656,train
EZKDkSY1GBM#001801#001947,0,0,249-48-609-408,10.0,768,768,train
lmyZMtPVodo#003288#003455,0,0,164-2-483-321,10.0,544,544,train
5zWmdHmJMd0#013695#013828,0,0,142-40-726-624,10.0,1056,1056,train
6wNif5SlN08#012243#012391,0,0,180-39-530-389,10.0,672,672,train
yNhu0MG_2MA#015079#015207,0,0,267-68-696-498,10.0,992,992,train
HiwJ0hNl1Fw#019802#019950,0,0,195-47-530-382,10.0,704,704,train
ERSZb2wHFDw#009942#010154,0,0,245-38-683-475,10.0,896,896,train
yNhu0MG_2MA#015293#015483,0,0,285-59-748-522,10.0,992,992,train
QeIrdqU0o9s#009717#009869,0,0,216-6-586-376,10.0,656,656,train
LiUClSItcy0#002910#003194,0,0,117-33-442-358,10.0,624,624,train
yLfCCcVDUiU#011743#012036,0,0,194-37-554-396,10.0,688,688,train
Uq1idqpX9-A#003270#003404,0,0,164-25-514-375,10.0,608,608,train
8Z24LCysq3A#008681#008961,0,0,230-22-593-385,10.0,704,704,train
YUUP2MMz7PU#001605#001830,0,0,221-27-648-454,10.0,816,816,train
Jc9RdbHEFa0#011429#011585,0,0,154-39-498-383,10.0,688,688,train
949yOxz_x80#013333#013579,0,0,239-74-739-574,10.0,1056,1056,train
yNhu0MG_2MA#004164#004617,0,0,303-10-855-562,10.0,944,944,train
BzeTjn0R2VY#007387#007708,0,0,110-28-711-629,10.0,1024,1024,train
0gks6ceq4eQ#016612#016848,0,0,181-47-702-569,10.0,1008,1008,train
dkmpRQdJslI#008681#009033,0,0,79-13-503-436,10.0,720,720,train
LiUClSItcy0#006855#007128,0,0,87-12-443-368,10.0,624,624,train
DGvPfD1Dd1U#014815#015208,0,0,338-76-820-558,10.0,1056,1056,train
Ubbmje44gLg#011585#011723,0,0,144-43-532-431,10.0,752,752,train
g2m97gPI70I#016699#016891,0,0,121-31-458-368,10.0,656,656,train
Mr8nvXvl-y8#000719#000970,0,0,151-30-467-346,10.0,608,608,train
V1yW5IsnSjo#012145#012273,0,0,122-8-451-337,10.0,592,592,train
kmbui1xF8DE#017256#017534,0,0,284-45-793-553,10.0,992,992,train
RjquHTj4HlY#011734#012042,0,0,214-0-697-481,10.0,816,816,train
GIBoCJeB3HQ#003803#003962,0,0,151-48-526-424,10.0,752,752,train
BoRUrWcdkQ4#000589#000745,0,0,105-17-459-371,10.0,640,640,train
I3BJVaioX_k#022294#022546,0,0,321-44-861-584,10.0,1040,1040,train
UMhLBPPtlrY#023040#023306,0,0,125-13-480-368,10.0,656,656,train
idfv7Lw4Y_s#002452#002701,0,0,319-64-840-585,10.0,1056,1056,train
pxEcvU0Vp_M#014404#014610,0,0,163-40-490-366,10.0,688,688,train
YUUP2MMz7PU#017126#017263,0,0,200-53-621-474,10.0,848,848,train
cK74vhqzeeQ#018362#018592,0,0,181-37-514-369,10.0,672,672,train
aTfwA1TaH3Q#012919#013059,0,0,201-38-537-374,10.0,704,704,train
I3BJVaioX_k#000511#000641,0,0,212-34-703-526,10.0,976,976,train
-nKdufEaL8k#007202#007434,0,0,216-52-608-444,10.0,832,832,train
2wseM6wWd74#012014#012363,0,0,126-23-436-333,10.0,608,608,train
gypAjPp6eps#016669#016808,0,0,175-45-516-386,10.0,672,672,train
ClfBxWPkBKU#024118#024322,0,0,209-34-563-389,10.0,720,720,train
TLZ6W-Nqv1I#000314#000448,0,0,259-51-716-509,10.0,992,992,train
360bU-vBJOI#011030#011186,0,0,171-28-610-467,10.0,848,848,train
UMhLBPPtlrY#021859#022146,0,0,144-26-461-343,10.0,640,640,train
jAw8t2g-eVU#021784#022144,0,0,269-40-789-561,10.0,1040,1040,train
TLZ6W-Nqv1I#010376#010568,0,0,233-61-636-464,10.0,896,896,train
C74amJRp730#016824#017085,0,0,197-33-566-402,10.0,704,704,train
360bU-vBJOI#010853#011004,0,0,179-50-608-479,10.0,880,880,train
kmbui1xF8DE#008597#008782,0,0,206-44-703-541,10.0,960,960,train
bGUVQaBdxKw#014130#014499,0,0,296-29-783-516,10.0,976,976,train
B43f89Y9f-A#019659#019857,0,0,194-33-576-415,10.0,768,768,train
4CGFPbFqdJ4#013554#013882,0,0,303-35-810-542,10.0,976,976,train
bGUVQaBdxKw#002392#002628,0,0,273-31-694-452,10.0,848,848,train
BzeTjn0R2VY#016566#016817,0,0,184-32-684-532,10.0,976,976,train
kaU7IPlg9PA#004193#004337,0,0,251-52-678-479,10.0,880,880,train
d38LKbYfWrs#002610#002807,0,0,194-51-515-372,10.0,688,688,train
a63t8r70QN0#001613#002039,0,0,190-41-611-462,10.0,784,784,train
ONs9FCY74p0#003498#003629,0,0,261-59-701-499,10.0,928,928,train
zamvnyBB-SU#015610#015876,0,0,179-19-723-563,10.0,1008,1008,train
AEKy1AS75Zs#010278#010459,0,0,359-34-915-590,10.0,1072,1072,train
esD6aaIjhek#010109#010314,0,0,90-0-474-382,10.0,624,624,train
SF9qq6vQ3Pg#002546#002690,0,0,212-20-718-526,10.0,912,912,train
CZNrOzgNWf4#007008#007147,0,0,194-47-520-373,10.0,688,688,train
iFTWM7HV2UI#011447#012032,0,0,181-37-699-555,10.0,992,992,train
08z_xW-szwM#006317#006736,0,0,274-63-668-458,10.0,848,848,train
U51MSK6nSQE#006747#007244,0,0,258-57-726-525,10.0,880,880,train
YUUP2MMz7PU#014064#014540,0,0,199-40-628-470,10.0,864,864,train
5ErKrSyUpEo#015895#016145,0,0,235-62-721-548,10.0,1056,1056,train
a63t8r70QN0#021847#022019,0,0,181-43-530-392,10.0,672,672,train
4E_1AB1rsSw#000509#000674,0,0,251-60-674-483,10.0,864,864,train
PVXQUItNEDQ#012524#012939,0,0,163-21-471-328,10.0,672,672,train
ddw1_3ZVjTE#006951#007207,0,0,141-32-473-364,10.0,640,640,train
YUUP2MMz7PU#003555#003686,0,0,242-49-652-458,10.0,832,832,train
-eBUcBfkVCo#046758#046901,0,0,124-7-464-347,10.0,592,592,train
xDKth-qS8Jk#019917#020109,0,0,213-22-789-598,10.0,1024,1024,train
yLfCCcVDUiU#005261#005463,0,0,150-43-499-392,10.0,704,704,train
U51MSK6nSQE#009261#009551,0,0,220-57-673-510,10.0,880,880,train
zfbigT9I0Qg#006723#006933,0,0,283-54-736-507,10.0,928,928,train
phgjouv0BUA#020509#020703,0,0,215-45-589-420,10.0,752,752,train
iMFJef3xnmg#017073#017268,0,0,252-47-684-479,10.0,864,864,train
GIrfNWed1Mk#009269#009486,0,0,260-55-730-525,10.0,944,944,train
i2l9v_seHCc#015736#016025,0,0,295-37-733-475,10.0,912,912,train
idfv7Lw4Y_s#013853#014130,0,0,203-51-726-574,10.0,1040,1040,train
uXrCeiQxWyc#001156#001392,0,0,279-12-765-499,10.0,848,848,train
360bU-vBJOI#015287#015464,0,0,242-44-668-470,10.0,864,864,train
9A7_xCrgX1U#019079#019270,0,0,220-48-728-556,10.0,992,992,train
1AT5klu_yAQ#013167#013330,0,0,214-58-679-522,10.0,928,928,train
e-BZigXlphY#015854#016226,0,0,191-38-512-359,10.0,656,656,train
UoMpbL_Fsig#000532#000720,0,0,177-44-491-358,10.0,672,672,train
ONs9FCY74p0#020110#020295,0,0,273-60-725-512,10.0,912,912,train
eaCrsBtiYA4#018951#019400,0,0,177-66-708-598,10.0,1040,1040,train
BzeTjn0R2VY#018010#018206,0,0,239-5-848-614,10.0,1024,1024,train
2paoNvG5Nmo#049057#049289,0,0,224-47-634-457,10.0,832,832,train
360bU-vBJOI#012867#013032,0,0,205-52-630-477,10.0,864,864,train
2IFa0tqHrwE#006921#007133,0,0,217-37-616-435,10.0,736,736,train
4E_1AB1rsSw#010714#010884,0,0,250-30-731-511,10.0,928,928,train
uXrCeiQxWyc#010839#011019,0,0,249-49-723-523,10.0,960,960,train
0gks6ceq4eQ#017414#017568,0,0,247-43-763-560,10.0,1024,1024,train
ERSZb2wHFDw#011903#012049,0,0,250-55-677-482,10.0,912,912,train
U51MSK6nSQE#012982#013375,0,0,239-50-702-512,10.0,880,880,train
BzeTjn0R2VY#020243#020385,0,0,212-57-702-548,10.0,1008,1008,train
bNpx7gpSqbY#008243#008415,0,0,164-5-567-408,10.0,704,704,train
cgxZ4H3gJ8c#015037#015423,0,0,129-23-490-384,10.0,672,672,train
raCIUeGUr3s#000828#000962,0,0,169-35-479-345,10.0,640,640,train
tb-WdVA4_bo#005510#005673,0,0,167-36-503-372,10.0,688,688,train
I3BJVaioX_k#018895#019194,0,0,239-74-756-591,10.0,1056,1056,train
3zJHwOwirjA#006829#007078,0,0,180-45-548-413,10.0,736,736,train
t0Cr64zCc38#016937#017181,0,0,265-32-768-535,10.0,928,928,train
iMFJef3xnmg#024671#025227,0,0,152-28-615-492,10.0,848,848,train
PJLT0cAPNfs#004731#004905,0,0,251-55-702-506,10.0,928,928,train
LnJwH_PZXnM#020609#020825,0,0,291-53-759-522,10.0,992,992,train
77HUdJ7Tij0#007186#007316,0,0,276-54-722-500,10.0,944,944,train
BzeTjn0R2VY#013774#013980,0,0,221-3-802-584,10.0,992,992,train
iMFJef3xnmg#000891#001078,0,0,203-25-663-485,10.0,848,848,train
zbHe4RpgV80#007350#007492,0,0,203-15-614-426,10.0,752,752,train
fO2htapfNhA#014908#015079,0,0,224-38-740-553,10.0,1040,1040,train
RcGyVTAoXEU#010100#010243,0,0,200-57-547-404,10.0,720,720,train
hU-aTB-heU0#017365#017560,0,0,154-32-493-371,10.0,704,704,train
vQILP19qABk#009286#009565,0,0,166-18-502-355,10.0,624,624,train
1fZ915L1w7I#011968#012149,0,0,162-3-565-407,10.0,704,704,train
lyR-K2CZIHQ#005664#005906,0,0,139-28-496-385,10.0,688,688,train
I3BJVaioX_k#020337#020686,0,0,266-62-791-587,10.0,1008,1008,train
4E_1AB1rsSw#010112#010411,0,0,235-66-704-535,10.0,960,960,train
0JGarsZE1rk#018217#018408,0,0,204-56-737-589,10.0,1072,1072,train
4E_1AB1rsSw#006255#006461,0,0,241-60-709-529,10.0,944,944,train
g2m97gPI70I#005586#005728,0,0,98-29-428-359,10.0,656,656,train
-eBUcBfkVCo#046901#047078,0,0,97-33-438-374,10.0,608,608,train
3lVNA4aF1lg#006525#006791,0,0,358-66-873-580,10.0,1040,1040,train
1k89OTpDvIU#005282#005447,0,0,196-50-554-408,10.0,720,720,train
cZe3zcNoIKk#003813#003988,0,0,284-41-838-594,10.0,976,976,train
UoMpbL_Fsig#000780#000962,0,0,184-48-495-359,10.0,672,672,train
ON4iy8hq2hM#011970#012110,0,0,229-43-675-490,10.0,880,880,train
6wNif5SlN08#011660#011924,0,0,184-28-525-369,10.0,640,640,train
U51MSK6nSQE#005486#005673,0,0,206-70-641-505,10.0,912,912,train
yNhu0MG_2MA#014024#014297,0,0,290-27-794-531,10.0,960,960,train
y7l5QHRY_AI#007139#007386,0,0,174-31-534-391,10.0,688,688,train
tbvUCrS5_5I#004632#004773,0,0,291-54-791-554,10.0,1008,1008,train
vQILP19qABk#013867#014019,0,0,123-36-435-348,10.0,624,624,train
VJoQj00RZHg#007527#007692,0,0,166-32-478-344,10.0,624,624,train
pxEcvU0Vp_M#006057#006264,0,0,147-6-542-401,10.0,704,704,train
LcNvkhS4UYg#010842#010979,0,0,227-45-588-405,10.0,752,752,train
iFTWM7HV2UI#018446#018693,0,0,216-50-758-592,10.0,1040,1040,train
4E_1AB1rsSw#004064#004342,0,0,227-44-677-494,10.0,896,896,train
MB5IX-np5fE#028992#029145,0,0,232-48-721-537,10.0,960,960,train
YUUP2MMz7PU#002609#002952,0,0,228-44-643-459,10.0,832,832,train
TLZ6W-Nqv1I#017442#017593,0,0,275-75-762-562,10.0,1008,1008,train
kmbui1xF8DE#015953#016213,0,0,133-23-680-570,10.0,976,976,train
rToBZSrxjgM#002341#002472,0,0,177-35-518-376,10.0,688,688,train
B43f89Y9f-A#014203#014426,0,0,188-24-585-422,10.0,768,768,train
BzeTjn0R2VY#005198#005382,0,0,168-54-741-627,10.0,1072,1072,train
27lMmdmy-b8#009976#010272,0,0,124-33-485-393,10.0,704,704,train
yhMi0tkYyT8#019941#020307,0,0,137-31-490-383,10.0,704,704,train
RovaUZY3e8k#002916#003169,0,0,164-6-581-424,10.0,704,704,train
1fZ915L1w7I#000554#000752,0,0,202-29-648-475,10.0,912,912,train
kaU7IPlg9PA#003917#004190,0,0,323-47-766-490,10.0,896,896,train
oGlsUYGMYks#002271#002455,0,0,161-45-505-389,10.0,688,688,train
yNhu0MG_2MA#016183#016544,0,0,320-60-805-545,10.0,1008,1008,train
vPn94XAUBoo#001562#001821,0,0,181-39-530-389,10.0,704,704,train
yLfCCcVDUiU#007354#007607,0,0,231-54-604-427,10.0,784,784,train
YUUP2MMz7PU#003692#003821,0,0,224-38-635-450,10.0,832,832,train
U51MSK6nSQE#000959#001199,0,0,223-60-678-514,10.0,896,896,train
iMFJef3xnmg#000541#000795,0,0,256-43-699-485,10.0,848,848,train
iFTWM7HV2UI#013431#013905,0,0,199-61-656-518,10.0,976,976,train
iMFJef3xnmg#021011#021913,0,0,217-43-663-489,10.0,832,832,train
F3mzS32SH2Q#015905#016083,0,0,190-46-556-412,10.0,784,784,train
Pl8OlkkwRpc#005097#005341,0,0,180-43-512-376,10.0,688,688,train
pxEcvU0Vp_M#021526#021722,0,0,159-29-510-379,10.0,704,704,train
iFTWM7HV2UI#010355#010616,0,0,279-54-747-522,10.0,1008,1008,train
jAw8t2g-eVU#008276#008728,0,0,189-52-674-536,10.0,976,976,train
VMXdSkW6hns#012546#012870,0,0,263-18-788-543,10.0,1040,1040,train
eaCrsBtiYA4#010465#010784,0,0,140-19-666-545,10.0,976,976,train
2VBkDNzeRZM#004732#004938,0,0,122-35-701-615,10.0,1008,1008,train
wYb3Wimn01s#000402#000534,0,0,315-66-797-549,10.0,960,960,train
bGUVQaBdxKw#013965#014129,0,0,310-52-780-522,10.0,976,976,train
tuvxXnQrRv8#012883#013120,0,0,188-25-665-502,10.0,880,880,train
Juc_yvEkJuc#006698#006833,0,0,287-32-823-568,10.0,960,960,train
x95nwilkaio#010794#011010,0,0,168-19-516-367,10.0,608,608,train
YUUP2MMz7PU#004967#005164,0,0,202-39-619-456,10.0,832,832,train
ER0G2S9r7aE#011569#011705,0,0,271-65-709-503,10.0,912,912,train
0gks6ceq4eQ#014103#014264,0,0,254-48-764-557,10.0,1024,1024,train
CTn0HYmMAYM#012038#012321,0,0,162-4-657-499,10.0,896,896,train
zbHe4RpgV80#020694#021047,0,0,113-30-518-435,10.0,752,752,train
NAkkckxE9i8#006097#006283,0,0,160-33-472-346,10.0,608,608,train
501FEzbB1JI#007406#007594,0,0,77-18-435-376,10.0,640,640,train
SF9qq6vQ3Pg#012614#012762,0,0,304-69-736-500,10.0,928,928,train
iMFJef3xnmg#004140#004584,0,0,174-37-621-484,10.0,848,848,train
77HUdJ7Tij0#013225#013483,0,0,278-59-769-550,10.0,992,992,train
kmbui1xF8DE#002148#002395,0,0,162-18-741-598,10.0,1024,1024,train
2Brajdazp1o#011560#011741,0,0,150-48-500-398,10.0,688,688,train
TS6lFDVR-3g#009188#009767,0,0,73-0-405-330,10.0,576,576,train
B43f89Y9f-A#014427#014653,0,0,198-51-588-441,10.0,800,800,train
-7ORAKULel4#019858#020076,0,0,155-25-629-499,10.0,864,864,train
9EVEmZ2c_es#013627#013824,0,0,92-20-447-375,10.0,640,640,train
pxEcvU0Vp_M#002773#003073,0,0,188-39-534-384,10.0,720,720,train
ERSZb2wHFDw#002886#003100,0,0,186-42-642-497,10.0,912,912,train
zMWYQRKuc5M#020879#021008,0,0,186-36-504-354,10.0,672,672,train
oGlsUYGMYks#011880#012201,0,0,165-8-556-399,10.0,656,656,train
fWqKalpYgLo#001296#001455,0,0,245-46-645-446,10.0,848,848,train
g3vSYbT1Aco#017247#017381,0,0,255-50-738-533,10.0,944,944,train
ZCRC5_0kfiw#010674#010852,0,0,188-45-528-386,10.0,704,704,train
rftagV38YKY#012970#013145,0,0,184-41-517-374,10.0,704,704,train
BXlnrFpCu0c#026558#026762,0,0,139-46-449-356,10.0,656,656,train
fO2htapfNhA#010834#011101,0,0,228-46-738-556,10.0,1024,1024,train
g3vSYbT1Aco#012113#012300,0,0,141-16-666-541,10.0,944,944,train
2paoNvG5Nmo#018161#018303,0,0,106-10-609-514,10.0,864,864,train
JKS7HWy2TRU#001690#002062,0,0,177-25-640-488,10.0,864,864,train
y7l5QHRY_AI#000587#001006,0,0,153-32-518-397,10.0,688,688,train
-H1tUMRJoeo#001296#001442,0,0,215-42-741-569,10.0,1040,1040,train
CsECS5qsGLs#005768#005922,0,0,204-38-529-364,10.0,672,672,train
Cr1usGUSuL4#007426#007555,0,0,106-31-459-383,10.0,656,656,train
iFTWM7HV2UI#006125#006435,0,0,218-5-847-634,10.0,1024,1024,train
i-icXZ2tMRM#012258#012558,0,0,114-10-430-326,10.0,608,608,train
UQzvNIIMayo#008793#009029,0,0,315-47-867-599,10.0,1056,1056,train
oGlsUYGMYks#015430#015725,0,0,158-34-499-375,10.0,672,672,train
RDIy58g9n2k#007326#007494,0,0,176-48-495-367,10.0,688,688,train
U4gR_cd6xOc#003971#004121,0,0,244-85-687-528,10.0,1040,1040,train
tuvxXnQrRv8#003137#003330,0,0,196-43-677-524,10.0,928,928,train
QeIrdqU0o9s#005982#006229,0,0,182-48-495-361,10.0,656,656,train
v3-ZTqj2_kw#023193#023383,0,0,142-27-487-372,10.0,688,688,train
r-YXvkWLy-g#007151#007366,0,0,179-53-670-544,10.0,976,976,train
Xb1Wq4NA290#013417#013602,0,0,296-48-747-499,10.0,1024,1024,train
yjYrxcGSWX4#007930#008096,0,0,165-36-564-436,10.0,736,736,train
cK74vhqzeeQ#001775#002079,0,0,174-35-527-387,10.0,672,672,train
iMFJef3xnmg#001766#001895,0,0,160-45-593-478,10.0,848,848,train
yNhu0MG_2MA#001526#001929,0,0,276-50-751-525,10.0,976,976,train
1N39Z0ODeME#008820#009044,0,0,69-10-385-325,10.0,560,560,train
-nKdufEaL8k#001783#001933,0,0,214-62-605-453,10.0,832,832,train
eemOZfsrKdg#001065#001255,0,0,292-58-682-449,10.0,832,832,train
501FEzbB1JI#010268#010443,0,0,59-12-444-398,10.0,656,656,train
srhCnPUmJDI#014813#014969,0,0,180-47-708-575,10.0,1024,1024,train
uuatZO76MgQ#002428#002636,0,0,224-54-710-540,10.0,1024,1024,train
lV3trdyDdHE#016576#016818,0,0,108-7-515-414,10.0,704,704,train
j-S03JfgHEA#002604#002742,0,0,150-17-488-354,10.0,656,656,train
3lVNA4aF1lg#002338#002554,0,0,268-49-769-550,10.0,960,960,train
QeIrdqU0o9s#005459#005642,0,0,201-29-550-378,10.0,656,656,train
AHV_BxlNzmM#017655#017839,0,0,149-45-489-385,10.0,688,688,train
eemOZfsrKdg#010670#010973,0,0,225-24-701-500,10.0,848,848,train
2Euof4PnjDk#011683#011931,0,0,164-3-505-343,10.0,592,592,train
9KvZy09vaNg#012208#012365,0,0,173-20-603-451,10.0,816,816,train
xv4_L5zlYaA#015194#015386,0,0,243-58-662-477,10.0,864,864,train
zpjxElfNpks#010561#010716,0,0,114-0-585-470,10.0,752,752,train
cgxZ4H3gJ8c#016105#016318,0,0,133-9-494-370,10.0,656,656,train
iB4MS1hsWXU#011324#011469,0,0,298-58-853-614,10.0,1024,1024,train
d6NKdnZvdoo#010763#010949,0,0,215-50-544-379,10.0,704,704,train
3wxBTEo8-T8#006514#006682,0,0,151-44-464-357,10.0,640,640,train
54ST8bwOVyc#003983#004116,0,0,186-3-642-460,10.0,848,848,train
bCucggordMM#011903#012040,0,0,204-54-654-504,10.0,864,864,train
y7l5QHRY_AI#002445#002710,0,0,169-45-529-404,10.0,720,720,train
iFTWM7HV2UI#002425#002700,0,0,204-37-742-575,10.0,1008,1008,train
yLfCCcVDUiU#014401#014559,0,0,173-36-523-386,10.0,688,688,train
QeIrdqU0o9s#007820#007991,0,0,218-14-575-371,10.0,656,656,train
g9M3HIjHuq0#011056#011237,0,0,192-25-531-364,10.0,656,656,train
2ju61VPdTzw#021138#021274,0,0,124-34-441-350,10.0,688,688,train
2paoNvG5Nmo#052760#052890,0,0,121-27-559-465,10.0,800,800,train
raCIUeGUr3s#018608#018808,0,0,194-34-511-351,10.0,656,656,train
srhCnPUmJDI#005584#005740,0,0,323-48-849-575,10.0,1040,1040,train
qH4GAXXH29s#004171#004348,0,0,182-36-569-423,10.0,688,688,train
ONs9FCY74p0#020805#020938,0,0,256-50-699-493,10.0,896,896,train
0DHywidLX6A#004696#004898,0,0,232-68-698-534,10.0,1008,1008,train
BXlnrFpCu0c#007692#008093,0,0,138-37-447-346,10.0,640,640,train
RZgkjEdMbSw#002878#003025,0,0,261-51-727-518,10.0,944,944,train
iFTWM7HV2UI#027461#027836,0,0,257-71-763-577,10.0,1056,1056,train
uXrCeiQxWyc#014653#014819,0,0,218-47-680-509,10.0,928,928,train
360bU-vBJOI#009474#009620,0,0,194-32-671-509,10.0,896,896,train
wYb3Wimn01s#003364#003510,0,0,281-55-799-573,10.0,1056,1056,train
4E_1AB1rsSw#016185#016451,0,0,251-64-716-529,10.0,944,944,train
Juc_yvEkJuc#001721#001946,0,0,186-51-681-546,10.0,944,944,train
iMFJef3xnmg#014145#014649,0,0,188-33-652-497,10.0,864,864,train
HCgv_HNoJrY#006985#007172,0,0,161-48-504-391,10.0,704,704,train
t0Cr64zCc38#005724#005936,0,0,162-27-662-527,10.0,928,928,train
oGlsUYGMYks#010112#010275,0,0,178-42-525-389,10.0,688,688,train
I3BJVaioX_k#015742#015941,0,0,196-40-745-590,10.0,992,992,train
oGlsUYGMYks#012737#012897,0,0,112-21-473-382,10.0,672,672,train
8Dv2Hdf5TRg#005670#005856,0,0,208-46-543-381,10.0,672,672,train
zbHe4RpgV80#003048#003221,0,0,124-22-515-413,10.0,720,720,train
1AT5klu_yAQ#010294#010479,0,0,193-38-692-537,10.0,928,928,train
FDhlOovaGrI#020017#020178,0,0,184-27-538-381,10.0,688,688,train
DhnBn_c9f8Q#003002#003228,0,0,232-64-723-555,10.0,992,992,train
9RTkZaX1cH0#010065#010291,0,0,112-27-463-378,10.0,608,608,train
rYwTA5RA9eU#008589#008721,0,0,201-41-530-369,10.0,656,656,train
gWPFJgLAzu4#015751#015952,0,0,171-13-541-383,10.0,672,672,train
9EVEmZ2c_es#008486#008868,0,0,168-29-541-401,10.0,704,704,train
VJoQj00RZHg#005864#006113,0,0,121-30-457-366,10.0,640,640,train
ER15KmrB8h8#002508#002709,0,0,199-46-755-602,10.0,1040,1040,train
PJLT0cAPNfs#007392#007627,0,0,254-58-696-499,10.0,912,912,train
lV3trdyDdHE#013121#013308,0,0,198-36-539-377,10.0,688,688,train
Hh09xlzxRmE#008629#008818,0,0,187-36-541-391,10.0,704,704,train
27lMmdmy-b8#006544#006705,0,0,152-39-515-401,10.0,720,720,train
U4gR_cd6xOc#008750#009090,0,0,118-39-612-533,10.0,976,976,train
ERSZb2wHFDw#003624#003897,0,0,239-47-686-494,10.0,928,928,train
2IFa0tqHrwE#000878#001063,0,0,217-21-611-415,10.0,720,720,train
gJzSWacrkKo#005298#005427,0,0,294-78-758-542,10.0,1024,1024,train
Juc_yvEkJuc#003099#003249,0,0,270-35-760-525,10.0,880,880,train
zbHe4RpgV80#019622#019887,0,0,163-24-616-477,10.0,784,784,train
oGlsUYGMYks#004524#004665,0,0,150-45-488-383,10.0,672,672,train
4CGFPbFqdJ4#006370#006664,0,0,290-53-783-545,10.0,1024,1024,train
FDhlOovaGrI#010929#011233,0,0,142-34-492-384,10.0,688,688,train
TLZ6W-Nqv1I#018766#018985,0,0,297-70-743-516,10.0,1008,1008,train
fO2htapfNhA#000496#000626,0,0,182-16-733-567,10.0,1024,1024,train
UoMpbL_Fsig#007884#008028,0,0,164-39-508-383,10.0,720,720,train
08z_xW-szwM#005044#005209,0,0,193-51-585-443,10.0,832,832,train
EEjyPqyFe_s#018650#018899,0,0,171-7-528-365,10.0,672,672,train
360bU-vBJOI#001258#001545,0,0,143-17-636-510,10.0,864,864,train
U51MSK6nSQE#007802#008074,0,0,279-60-733-513,10.0,896,896,train
FauPVZxDXxk#007454#007671,0,0,171-43-509-380,10.0,688,688,train
GwRzjFQa_Og#006775#007595,0,0,266-62-806-601,10.0,1072,1072,train
2_0aEezKvBE#002811#002945,0,0,151-35-467-351,10.0,656,656,train
hs-YuHv0vUk#005291#005450,0,0,252-64-780-592,10.0,1072,1072,train
srhCnPUmJDI#004349#004503,0,0,307-21-834-548,10.0,944,944,train
tFfYh9THuGo#014095#014334,0,0,138-42-639-543,10.0,912,912,train
y8ohTeRKVqs#014302#014513,0,0,210-37-742-568,10.0,1040,1040,train
BzeTjn0R2VY#001029#001183,0,0,270-46-787-562,10.0,1024,1024,train
